,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Random Forest,0.9994908886626171,0.8709677419354839,0.826530612244898,0.8481675392670157,0.9684484390970794
XGBoost,0.9991924440855307,0.7280701754385965,0.8469387755102041,0.7830188679245284,0.9799832109264639
Decision Tree,0.997559776693234,0.39487179487179486,0.7857142857142857,0.5255972696245734,0.8918195795481951
Gradient Boosting,0.9875004388890839,0.11335012594458438,0.9183673469387755,0.20179372197309417,0.980964697007109
Logistic Regression,0.9741055440469084,0.057803468208092484,0.9183673469387755,0.10876132930513595,0.9708434302252134
